name,pollen unit,dispersal unit and peculiarities,size (pollen unit),size of hydrated pollen (LM),shortest polar axis in equatorial view (LM),longest polar axis in equatorial view (LM),shortest diameter in equatorial or polar view (LM),longest diameter in equatorial or polar view (LM),pollen class,polarity,P/E-ratio,shape,outline in polar view,dominant orientation (LM),P/E-ratio (dry pollen),shape (dry pollen),outline in polar view (dry pollen),infoldings (dry pollen),aperture number,aperture type,aperture condition,aperture peculiarities,ornamentation LM,nexine,sexine,ornamentation SEM,suprasculpture SEM,tectum,infratectum,foot layer,endexine,intine,wall peculiarities,supratectal element,pollen coatings,reserves in cytoplasm,cell number,Ubisch bodies
Acacia arabica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia bracteata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia coronalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cyanophylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia decora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia falcinella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia farnesiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia floribunda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia hannianav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia lebbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia longifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia nilotica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia petiolaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pycnantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia retinodes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia saligna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia sentis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia victoriae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia westonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthoxanthium spinosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer macrophyllum,monad,monad,medium-sized (26-50 µm),"26-30 µm, 31-35 µm",26-30 µm,31-35 µm,31-35 µm,31-35 µm,colpate,-,-,spheroidal,circular,oblique,-,-,-,-,3,colpus,"colpate, tricolpate",-,"rugulate,  striate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Acer negundo,monad,monad,medium-sized (26-50 µm),31-35 µm,21-25 µm,26-30 µm,21-25 µm,26-30 µm,colpate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colpus,"colpate, tricolpate",-,"rugulate,  striate",-,-,"rugulate, perforate",-,eutectate,columellate,continuous,compact-continuous,monolayered,-,-,absent,"starch, lipids",2-celled,-
Acer pseudoplatanus,monad,monad,medium-sized (26-50 µm),31-35 µm,26-30 µm,31-35 µm,31-35 µm,31-35 µm,colpate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colpus,"colpate, tricolpate",aperture membrane psilate,"rugulate,  striate",-,-,"striate, perforate",-,eutectate,columellate,continuous,compact-continuous,monolayered,-,-,pollenkitt,"lipids, starch",2-celled,present
Acer rubrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer saccharinum,monad,monad,medium-sized (26-50 µm),-,-,-,-,-,colpate,isopolar,-,spheroidal,circular,-,prolate,-,lobate,aperture(s) sunken,3,colpus,"colpate, tricolpate",aperture membrane psilate,striate,-,-,"striate, perforate",-,eutectate,columellate,continuous,compact-continuous,monolayered,-,-,pollenkitt,"starch, lipids",2-celled,present
Acer saccharum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetosella acetosella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetosella tenuifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetosella vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achyrocline satureioides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acnida tamariscina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhatoda vasica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegilops cylindrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegilops squarrosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegilops tauschii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aesculus hippocastanum,monad,monad,medium-sized (26-50 µm),21-25 µm,16-20 µm,21-25 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",aperture membrane ornamented,"rugulate,  striate",-,-,"striate, perforate",-,eutectate,columellate,continuous,compact-continuous,monolayered,-,-,pollenkitt,starch,2-celled,present
Afrocarpus falcatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratum conycoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratum conyzoides,monad,monad,small (10-25 µm),11-15 µm,11-15 µm,11-15 µm,11-15 µm,11-15 µm,colporate,isopolar,-,spheroidal,circular,oblique,-,spheroidal,circular,not infolded,3,colporus,"colporate, tricolporate",-,echinate,-,-,"echinate, perforate",-,-,-,-,-,-,-,-,-,-,-,-
Ageratum obtusifolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron cristatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron distachyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron repens,monad,monad,medium-sized (26-50 µm),41-50 µm,-,-,41-50 µm,41-50 µm,ulcerate,heteropolar,-,spheroidal,circular,oblique,-,-,-,-,1,ulcus,ulcerate,operculum,psilate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Agropyron smithii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agropyron sylvaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis alba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis capillaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis elongata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis gigantea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis indica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis nigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis tenacissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis tenuis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis tenuissima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima,monad,monad,medium-sized (26-50 µm),26-30 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,colporate,isopolar,-,spheroidal,circular,oblique,prolate,-,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",-,striato-reticulate,-,-,striato-reticulate,-,semitectate,columellate,absent,compact-continuous,bilayered,-,-,pollenkitt,starch,2-celled,absent
Ailanthus excelsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck,polyad,polyad,large (51-100 µm),-,-,-,-,-,polyad,heteropolar,-,-,quadrangular,-,-,-,-,not infolded,none,no aperture,inaperturate,-,-,-,-,"psilate, perforate, fossulate",-,-,-,-,-,-,-,-,-,-,-,present
Allenrolfea occidentalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa,monad,monad,medium-sized (26-50 µm),21-25 µm,21-25 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,oblate,-,polygonal,oblique,oblate,-,polygonal,interapertural area sunken,5,porus,"porate, stephanoporate",stephanoaperturate,psilate,-,-,"microrugulate, microechinate",-,eutectate,granular,continuous,absent,monolayered,arcus,-,absent,lipids,2-celled,present
Alnus incana,monad,monad,small (10-25 µm),21-25 µm,16-20 µm,21-25 µm,21-25 µm,21-25 µm,porate,isopolar,oblate,-,circular,oblique,oblate,-,polygonal,interapertural area sunken,5,porus,"porate, tetraporate",stephanoaperturate,psilate,-,-,"microrugulate, microechinate",-,-,-,-,-,-,arcus,-,-,-,-,present
Alnus japonica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus jorullensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus maximowiczii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus nepalensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus nitida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rhombifolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rubra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus rugosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus sieboldiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus viridis,monad,monad,small (10-25 µm),-,-,-,-,-,porate,isopolar,-,spheroidal,circular,-,oblate,-,irregular,interapertural area sunken,5,porus,"porate, stephanoporate",stephanoaperturate,-,-,-,"microrugulate, microechinate",-,-,-,-,-,-,arcus,-,absent,-,-,present
Aloe barbadensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe vera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aloe vulgaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopecurus pratensis,monad,monad,medium-sized (26-50 µm),31-35 µm,-,-,31-35 µm,31-35 µm,ulcerate,heteropolar,-,spheroidal,circular,oblique,-,irregular,irregular,irregularly infolded,1,ulcus,ulcerate,"operculum, annulus",psilate,-,-,microechinate,-,eutectate,columellate,continuous,absent,monolayered,-,-,absent,"polysaccharide vesicles, starch",3-celled,present
Alstonia scholaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alstroemeria andina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus albus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus deflexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus hybridus,monad,monad,medium-sized (26-50 µm),26-30 µm,-,-,26-30 µm,26-30 µm,porate,isopolar,-,spheroidal,circular,polar,-,-,-,-,>6,porus,"porate, pantoporate",aperture membrane ornamented,"scabrate,  verrucate,  gemmate",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Amaranthus muricatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus palmeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus pubescens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus retroflexus,monad,monad,small (10-25 µm),26-30 µm,-,-,26-30 µm,26-30 µm,porate,isopolar,isodiametric,spheroidal,circular,polar,-,irregular,irregular,irregularly infolded,>6,porus,"porate, pantoporate","aperture membrane ornamented, pantoaperturate","scabrate,  verrucate,  gemmate",-,-,"microechinate, perforate",-,-,-,-,-,-,-,-,-,-,-,present
Amaranthus rudis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus spinosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus tamariscinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus tuberculatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amaranthus viridis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia acanthicarpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia artemisiifolia,monad,monad,small (10-25 µm),16-20 µm,16-20 µm,16-20 µm,16-20 µm,16-20 µm,colporate,isopolar,-,spheroidal,circular,oblique,-,spheroidal,lobate,aperture(s) sunken,3,colporus,"colporate, tricolporate",brevicolporus,echinate,present,present,"echinate, perforate",-,eutectate,columellate,absent,lamellar-continuous,monolayered,-,-,absent,-,3-celled,absent
Ambrosia bidentata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia confertiflora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia deltoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambrosia dumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
